timestamp_unix,timestamp_iso,participant_full_id,eda_scl_usiemens,missing_value_reason
1709942400000,2024-03-09T00:00:00Z,288-1-1-114,23.64,
1709942460000,2024-03-09T00:01:00Z,288-1-1-114,23.54,
1709942520000,2024-03-09T00:02:00Z,288-1-1-114,23.76,
1709942580000,2024-03-09T00:03:00Z,288-1-1-114,23.81,
1709942640000,2024-03-09T00:04:00Z,288-1-1-114,24.6,
1709942700000,2024-03-09T00:05:00Z,288-1-1-114,24.17,
1709942760000,2024-03-09T00:06:00Z,288-1-1-114,23.52,
1709942820000,2024-03-09T00:07:00Z,288-1-1-114,22.51,
1709942880000,2024-03-09T00:08:00Z,288-1-1-114,23.1,
1709942940000,2024-03-09T00:09:00Z,288-1-1-114,23.87,
1709943000000,2024-03-09T00:10:00Z,288-1-1-114,23.69,
1709943060000,2024-03-09T00:11:00Z,288-1-1-114,23.63,
1709943120000,2024-03-09T00:12:00Z,288-1-1-114,22.35,
1709943180000,2024-03-09T00:13:00Z,288-1-1-114,21.17,
1709943240000,2024-03-09T00:14:00Z,288-1-1-114,23.74,
1709943300000,2024-03-09T00:15:00Z,288-1-1-114,23.76,
1709943360000,2024-03-09T00:16:00Z,288-1-1-114,24.68,
1709943420000,2024-03-09T00:17:00Z,288-1-1-114,23.4,
1709943480000,2024-03-09T00:18:00Z,288-1-1-114,22.39,
1709943540000,2024-03-09T00:19:00Z,288-1-1-114,22.39,
1709943600000,2024-03-09T00:20:00Z,288-1-1-114,23.56,
1709943660000,2024-03-09T00:21:00Z,288-1-1-114,22.69,
1709943720000,2024-03-09T00:22:00Z,288-1-1-114,20.83,
1709943780000,2024-03-09T00:23:00Z,288-1-1-114,19.53,
1709943840000,2024-03-09T00:24:00Z,288-1-1-114,18.34,
1709943900000,2024-03-09T00:25:00Z,288-1-1-114,19.22,
1709943960000,2024-03-09T00:26:00Z,288-1-1-114,19.09,
1709944020000,2024-03-09T00:27:00Z,288-1-1-114,18.61,
1709944080000,2024-03-09T00:28:00Z,288-1-1-114,17.9,
1709944140000,2024-03-09T00:29:00Z,288-1-1-114,17.78,
1709944200000,2024-03-09T00:30:00Z,288-1-1-114,18.27,
1709944260000,2024-03-09T00:31:00Z,288-1-1-114,18.34,
1709944320000,2024-03-09T00:32:00Z,288-1-1-114,19.1,
1709944380000,2024-03-09T00:33:00Z,288-1-1-114,20.52,
1709944440000,2024-03-09T00:34:00Z,288-1-1-114,21.19,
1709944500000,2024-03-09T00:35:00Z,288-1-1-114,20.92,
1709944560000,2024-03-09T00:36:00Z,288-1-1-114,21.07,
1709944620000,2024-03-09T00:37:00Z,288-1-1-114,21.35,
1709944680000,2024-03-09T00:38:00Z,288-1-1-114,19.43,
1709944740000,2024-03-09T00:39:00Z,288-1-1-114,18.39,
1709944800000,2024-03-09T00:40:00Z,288-1-1-114,19.97,
1709944860000,2024-03-09T00:41:00Z,288-1-1-114,20.07,
1709944920000,2024-03-09T00:42:00Z,288-1-1-114,22.08,
1709944980000,2024-03-09T00:43:00Z,288-1-1-114,21.97,
1709945040000,2024-03-09T00:44:00Z,288-1-1-114,21.81,
1709945100000,2024-03-09T00:45:00Z,288-1-1-114,21.73,
1709945160000,2024-03-09T00:46:00Z,288-1-1-114,21.91,
1709945220000,2024-03-09T00:47:00Z,288-1-1-114,21.74,
1709945280000,2024-03-09T00:48:00Z,288-1-1-114,22.17,
1709945340000,2024-03-09T00:49:00Z,288-1-1-114,24.63,
1709945400000,2024-03-09T00:50:00Z,288-1-1-114,26.15,
1709945460000,2024-03-09T00:51:00Z,288-1-1-114,27.76,
1709945520000,2024-03-09T00:52:00Z,288-1-1-114,25.27,
1709945580000,2024-03-09T00:53:00Z,288-1-1-114,22.47,
1709945640000,2024-03-09T00:54:00Z,288-1-1-114,26.11,
1709945700000,2024-03-09T00:55:00Z,288-1-1-114,25.12,
1709945760000,2024-03-09T00:56:00Z,288-1-1-114,22.65,
1709945820000,2024-03-09T00:57:00Z,288-1-1-114,24.48,
1709945880000,2024-03-09T00:58:00Z,288-1-1-114,25.04,
1709945940000,2024-03-09T00:59:00Z,288-1-1-114,24.98,
1709946000000,2024-03-09T01:00:00Z,288-1-1-114,25.4,
1709946060000,2024-03-09T01:01:00Z,288-1-1-114,23.86,
1709946120000,2024-03-09T01:02:00Z,288-1-1-114,24.38,
1709946180000,2024-03-09T01:03:00Z,288-1-1-114,25.28,
