timestamp_unix,timestamp_iso,participant_full_id,pulse_rate_bpm,missing_value_reason
1710115200000,2024-03-11T00:00:00Z,288-1-1-114,79,
1710115260000,2024-03-11T00:01:00Z,288-1-1-114,52,
1710115320000,2024-03-11T00:02:00Z,288-1-1-114,70,
1710115380000,2024-03-11T00:03:00Z,288-1-1-114,75,
1710115440000,2024-03-11T00:04:00Z,288-1-1-114,84,
1710115500000,2024-03-11T00:05:00Z,288-1-1-114,102,
1710115560000,2024-03-11T00:06:00Z,288-1-1-114,107,
1710115620000,2024-03-11T00:07:00Z,288-1-1-114,98,
1710115680000,2024-03-11T00:08:00Z,288-1-1-114,95,
1710115740000,2024-03-11T00:09:00Z,288-1-1-114,93,
1710115800000,2024-03-11T00:10:00Z,288-1-1-114,80,
1710115860000,2024-03-11T00:11:00Z,288-1-1-114,80,
1710115920000,2024-03-11T00:12:00Z,288-1-1-114,77,
1710115980000,2024-03-11T00:13:00Z,288-1-1-114,80,
1710116040000,2024-03-11T00:14:00Z,288-1-1-114,87,
1710116100000,2024-03-11T00:15:00Z,288-1-1-114,76,
1710116160000,2024-03-11T00:16:00Z,288-1-1-114,94,
1710116220000,2024-03-11T00:17:00Z,288-1-1-114,95,
1710116280000,2024-03-11T00:18:00Z,288-1-1-114,102,
1710116340000,2024-03-11T00:19:00Z,288-1-1-114,99,
1710116400000,2024-03-11T00:20:00Z,288-1-1-114,86,
1710116460000,2024-03-11T00:21:00Z,288-1-1-114,99,
1710116520000,2024-03-11T00:22:00Z,288-1-1-114,99,
1710116580000,2024-03-11T00:23:00Z,288-1-1-114,108,
1710116640000,2024-03-11T00:24:00Z,288-1-1-114,99,
1710116700000,2024-03-11T00:25:00Z,288-1-1-114,94,
1710116760000,2024-03-11T00:26:00Z,288-1-1-114,92,
1710116820000,2024-03-11T00:27:00Z,288-1-1-114,94,
1710116880000,2024-03-11T00:28:00Z,288-1-1-114,103,
1710116940000,2024-03-11T00:29:00Z,288-1-1-114,93,
1710117000000,2024-03-11T00:30:00Z,288-1-1-114,93,
1710117060000,2024-03-11T00:31:00Z,288-1-1-114,98,
1710117120000,2024-03-11T00:32:00Z,288-1-1-114,95,
1710117180000,2024-03-11T00:33:00Z,288-1-1-114,93,
1710117240000,2024-03-11T00:34:00Z,288-1-1-114,94,
1710117300000,2024-03-11T00:35:00Z,288-1-1-114,88,
1710117360000,2024-03-11T00:36:00Z,288-1-1-114,83,
1710117420000,2024-03-11T00:37:00Z,288-1-1-114,72,
1710117480000,2024-03-11T00:38:00Z,288-1-1-114,86,
1710117540000,2024-03-11T00:39:00Z,288-1-1-114,102,
1710117600000,2024-03-11T00:40:00Z,288-1-1-114,107,
1710117660000,2024-03-11T00:41:00Z,288-1-1-114,99,
1710117720000,2024-03-11T00:42:00Z,288-1-1-114,94,
1710117780000,2024-03-11T00:43:00Z,288-1-1-114,92,
1710117840000,2024-03-11T00:44:00Z,288-1-1-114,76,
1710117900000,2024-03-11T00:45:00Z,288-1-1-114,91,
1710117960000,2024-03-11T00:46:00Z,288-1-1-114,93,
1710118020000,2024-03-11T00:47:00Z,288-1-1-114,88,
1710118080000,2024-03-11T00:48:00Z,288-1-1-114,96,
1710118140000,2024-03-11T00:49:00Z,288-1-1-114,94,
1710118200000,2024-03-11T00:50:00Z,288-1-1-114,92,
1710118260000,2024-03-11T00:51:00Z,288-1-1-114,90,
1710118320000,2024-03-11T00:52:00Z,288-1-1-114,93,
1710118380000,2024-03-11T00:53:00Z,288-1-1-114,79,
1710118440000,2024-03-11T00:54:00Z,288-1-1-114,71,
1710118500000,2024-03-11T00:55:00Z,288-1-1-114,68,
1710118560000,2024-03-11T00:56:00Z,288-1-1-114,63,
1710118620000,2024-03-11T00:57:00Z,288-1-1-114,80,
1710118680000,2024-03-11T00:58:00Z,288-1-1-114,99,
1710118740000,2024-03-11T00:59:00Z,288-1-1-114,98,
1710118800000,2024-03-11T01:00:00Z,288-1-1-114,102,
1710118860000,2024-03-11T01:01:00Z,288-1-1-114,102,
1710118920000,2024-03-11T01:02:00Z,288-1-1-114,98,
1710118980000,2024-03-11T01:03:00Z,288-1-1-114,99,
1710119040000,2024-03-11T01:04:00Z,288-1-1-114,102,
1710119100000,2024-03-11T01:05:00Z,288-1-1-114,109,
1710119160000,2024-03-11T01:06:00Z,288-1-1-114,106,
1710119220000,2024-03-11T01:07:00Z,288-1-1-114,102,
1710119280000,2024-03-11T01:08:00Z,288-1-1-114,102,
1710119340000,2024-03-11T01:09:00Z,288-1-1-114,106,
1710119400000,2024-03-11T01:10:00Z,288-1-1-114,107,
1710119460000,2024-03-11T01:11:00Z,288-1-1-114,105,
1710119520000,2024-03-11T01:12:00Z,288-1-1-114,101,
1710119580000,2024-03-11T01:13:00Z,288-1-1-114,98,
1710119640000,2024-03-11T01:14:00Z,288-1-1-114,87,
1710119700000,2024-03-11T01:15:00Z,288-1-1-114,94,
1710119760000,2024-03-11T01:16:00Z,288-1-1-114,105,
1710119820000,2024-03-11T01:17:00Z,288-1-1-114,106,
1710119880000,2024-03-11T01:18:00Z,288-1-1-114,116,
1710119940000,2024-03-11T01:19:00Z,288-1-1-114,108,
1710120000000,2024-03-11T01:20:00Z,288-1-1-114,103,
1710120060000,2024-03-11T01:21:00Z,288-1-1-114,103,
1710120120000,2024-03-11T01:22:00Z,288-1-1-114,103,
1710120180000,2024-03-11T01:23:00Z,288-1-1-114,96,
1710120240000,2024-03-11T01:24:00Z,288-1-1-114,109,
1710120300000,2024-03-11T01:25:00Z,288-1-1-114,112,
1710120360000,2024-03-11T01:26:00Z,288-1-1-114,99,
1710120420000,2024-03-11T01:27:00Z,288-1-1-114,101,
1710120480000,2024-03-11T01:28:00Z,288-1-1-114,101,
1710120540000,2024-03-11T01:29:00Z,288-1-1-114,102,
1710120600000,2024-03-11T01:30:00Z,288-1-1-114,99,
1710120660000,2024-03-11T01:31:00Z,288-1-1-114,103,
1710120720000,2024-03-11T01:32:00Z,288-1-1-114,107,
1710120780000,2024-03-11T01:33:00Z,288-1-1-114,109,
1710120840000,2024-03-11T01:34:00Z,288-1-1-114,107,
1710120900000,2024-03-11T01:35:00Z,288-1-1-114,100,
1710120960000,2024-03-11T01:36:00Z,288-1-1-114,105,
1710121020000,2024-03-11T01:37:00Z,288-1-1-114,113,
1710121080000,2024-03-11T01:38:00Z,288-1-1-114,114,
1710121140000,2024-03-11T01:39:00Z,288-1-1-114,105,
1710121200000,2024-03-11T01:40:00Z,288-1-1-114,115,
1710121260000,2024-03-11T01:41:00Z,288-1-1-114,119,
1710121320000,2024-03-11T01:42:00Z,288-1-1-114,117,
1710121380000,2024-03-11T01:43:00Z,288-1-1-114,121,
