timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1711324800000,2024-03-25T00:00:00Z,288-1-1-115,98,42,236,258,
1711324860000,2024-03-25T00:01:00Z,288-1-1-115,89,199,667,701,
1711324920000,2024-03-25T00:02:00Z,288-1-1-115,140,95,590,613,
1711324980000,2024-03-25T00:03:00Z,288-1-1-115,68,63,370,381,
1711325040000,2024-03-25T00:04:00Z,288-1-1-115,138,702,665,976,
1711325100000,2024-03-25T00:05:00Z,288-1-1-115,1550,2444,1863,3441,
1711325160000,2024-03-25T00:06:00Z,288-1-1-115,27,67,587,591,
1711325220000,2024-03-25T00:07:00Z,288-1-1-115,170,607,1207,1361,
1711325280000,2024-03-25T00:08:00Z,288-1-1-115,0,30,274,275,
1711325340000,2024-03-25T00:09:00Z,288-1-1-115,45,160,840,856,
1711325400000,2024-03-25T00:10:00Z,288-1-1-115,10,33,244,246,
1711325460000,2024-03-25T00:11:00Z,288-1-1-115,25,78,298,309,
1711325520000,2024-03-25T00:12:00Z,288-1-1-115,118,156,549,582,
1711325580000,2024-03-25T00:13:00Z,288-1-1-115,29,49,496,499,
1711325640000,2024-03-25T00:14:00Z,288-1-1-115,164,162,276,359,
1711325700000,2024-03-25T00:15:00Z,288-1-1-115,0,0,0,0,
1711325760000,2024-03-25T00:16:00Z,288-1-1-115,0,0,0,0,
1711325820000,2024-03-25T00:17:00Z,288-1-1-115,6,6,0,8,
1711325880000,2024-03-25T00:18:00Z,288-1-1-115,0,0,0,0,
1711325940000,2024-03-25T00:19:00Z,288-1-1-115,0,0,0,0,
1711326000000,2024-03-25T00:20:00Z,288-1-1-115,0,0,0,0,
1711326060000,2024-03-25T00:21:00Z,288-1-1-115,0,0,0,0,
1711326120000,2024-03-25T00:22:00Z,288-1-1-115,0,0,0,0,
1711326180000,2024-03-25T00:23:00Z,288-1-1-115,0,0,0,0,
1711326240000,2024-03-25T00:24:00Z,288-1-1-115,0,0,0,0,
1711326300000,2024-03-25T00:25:00Z,288-1-1-115,0,0,0,0,
1711326360000,2024-03-25T00:26:00Z,288-1-1-115,7,161,0,161,
1711326420000,2024-03-25T00:27:00Z,288-1-1-115,0,0,0,0,
1711326480000,2024-03-25T00:28:00Z,288-1-1-115,0,0,0,0,
1711326540000,2024-03-25T00:29:00Z,288-1-1-115,0,199,223,298,
1711326600000,2024-03-25T00:30:00Z,288-1-1-115,0,0,10,10,
1711326660000,2024-03-25T00:31:00Z,288-1-1-115,1242,1432,1526,2433,
1711326720000,2024-03-25T00:32:00Z,288-1-1-115,124,270,78,307,
1711326780000,2024-03-25T00:33:00Z,288-1-1-115,192,368,568,703,
1711326840000,2024-03-25T00:34:00Z,288-1-1-115,0,91,90,127,
1711326900000,2024-03-25T00:35:00Z,288-1-1-115,0,73,151,167,
1711326960000,2024-03-25T00:36:00Z,288-1-1-115,0,0,36,36,
1711327020000,2024-03-25T00:37:00Z,288-1-1-115,0,31,114,118,
1711327080000,2024-03-25T00:38:00Z,288-1-1-115,0,31,31,43,
1711327140000,2024-03-25T00:39:00Z,288-1-1-115,110,200,484,535,
1711327200000,2024-03-25T00:40:00Z,288-1-1-115,14,16,90,92,
1711327260000,2024-03-25T00:41:00Z,288-1-1-115,0,0,0,0,
1711327320000,2024-03-25T00:42:00Z,288-1-1-115,0,28,67,72,
1711327380000,2024-03-25T00:43:00Z,288-1-1-115,391,274,384,612,
1711327440000,2024-03-25T00:44:00Z,288-1-1-115,33,126,219,254,
1711327500000,2024-03-25T00:45:00Z,288-1-1-115,11,225,177,286,
1711327560000,2024-03-25T00:46:00Z,288-1-1-115,0,18,31,35,
1711327620000,2024-03-25T00:47:00Z,288-1-1-115,0,129,217,252,
1711327680000,2024-03-25T00:48:00Z,288-1-1-115,551,892,1314,1681,
1711327740000,2024-03-25T00:49:00Z,288-1-1-115,265,453,2745,2794,
1711327800000,2024-03-25T00:50:00Z,288-1-1-115,5,103,1379,1382,
1711327860000,2024-03-25T00:51:00Z,288-1-1-115,17,222,1026,1049,
1711327920000,2024-03-25T00:52:00Z,288-1-1-115,227,293,798,879,
1711327980000,2024-03-25T00:53:00Z,288-1-1-115,192,318,623,725,
1711328040000,2024-03-25T00:54:00Z,288-1-1-115,0,38,16,41,
1711328100000,2024-03-25T00:55:00Z,288-1-1-115,0,104,70,125,
1711328160000,2024-03-25T00:56:00Z,288-1-1-115,0,277,440,519,
1711328220000,2024-03-25T00:57:00Z,288-1-1-115,106,505,401,653,
1711328280000,2024-03-25T00:58:00Z,288-1-1-115,0,269,227,351,
1711328340000,2024-03-25T00:59:00Z,288-1-1-115,764,1205,1107,1805,
1711328400000,2024-03-25T01:00:00Z,288-1-1-115,1838,2353,2409,3836,
1711328460000,2024-03-25T01:01:00Z,288-1-1-115,1228,3274,4566,5751,
1711328520000,2024-03-25T01:02:00Z,288-1-1-115,2334,3670,4567,6306,
1711328580000,2024-03-25T01:03:00Z,288-1-1-115,1994,1812,2641,3772,
